channel,LR_precision_malicious,LR_recall_malicious,RF_precision_malicious,RF_recall_malicious
SMS,1.0,0.7651006711409396,1.0,0.8053691275167785
Email,0.9954222934309911,0.9954222934309911,0.9974799541809851,0.9965667200732433
Calls,0.6666666666666666,1.0,1.0,0.5
